"COUNTY_CODE_003"	"meanIMP"	"meanADT"	"area_code"	"fips_state"	"area_title"	"period"	"labor_force"	"employed"	"unemployed"	"unemployed_rate"	"fips"	"pre_unemployed"	"pre_rate"	"Nov_unem"	"Nov_rate"	"new_pre_rate"	"new_pre_num"
"14"	"027"	54.9333333333333	2900.20476190476	"CN5502700000000"	"55"	"Dodge County, WI"	2019-12-01	47407	45981	1426	3	"55027"	790.052667908561	3.86166495091703	1291	2.7	3.37426827133067	1401.6733016061
"15"	"029"	397.516129032258	6059.70967741936	"CN5502900000000"	"55"	"Door County, WI"	2019-12-01	14178	13541	637	4.5	"55029"	4471.07357339046	5.02980450932224	462	3.2	4.05427509571807	712.388021078305
"16"	"031"	127.23417721519	4867.92405063291	"CN5503100000000"	"55"	"Douglas County, WI"	2019-12-01	22757	21742	1015	4.5	"55031"	2037.79145011861	3.87365789004428	872	3.8	4.40419823887369	997.18601874638
"17"	"033"	40.6219512195122	3181.88211382114	"CN5503300000000"	"55"	"Dunn County, WI"	2019-12-01	24610	23745	865	3.5	"55033"	786.006248818497	3.73828740304352	663	2.7	3.33710590444451	807.19079614012
"18"	"035"	134.811158798283	5741.91845493562	"CN5503500000000"	"55"	"Eau Claire County, WI"	2019-12-01	58593	56894	1699	2.9	"55035"	2410.25838730014	3.75452234082688	1465	2.5	3.05448939011553	1611.11981405532
"19"	"037"	156.842105263158	1157.95	"CN5503700000000"	"55"	"Florence County, WI"	2019-12-01	2232	2114	118	5.3	"55037"	914.248316135909	4.6927051681888	115	5.2	6.11946003478424	218.545839823688
"20"	"039"	96.3647540983606	3639.27459016393	"CN5503900000000"	"55"	"Fond du Lac County, WI"	2019-12-01	56493	54990	1503	2.7	"55039"	1364.43432122163	3.93858183436486	1399	2.5	3.16976850735564	1526.3157695473
"21"	"041"	36.8510638297872	462.1	"CN5504100000000"	"55"	"Forest County, WI"	2019-12-01	3978	3754	224	5.6	"55041"	-226.360961281434	4.20950117467322	164	4.2	5.03241347883928	264.922727858317
"22"	"043"	81.9869451697128	908.98955613577	"CN5504300000000"	"55"	"Grant County, WI"	2019-12-01	28559	27645	914	3.2	"55043"	269.702748547955	4.35788534105779	782	2.8	3.6631657247947	913.763741795653
"23"	"045"	30.6842105263158	873.218623481781	"CN5504500000000"	"55"	"Green County, WI"	2019-12-01	21164	20596	568	2.7	"55045"	-123.231073791942	4.10410030687807	497	2.4	3.20663570631187	645.566930159099
"24"	"047"	45.0625	1617.58333333333	"CN5504700000000"	"55"	"Green Lake County, WI"	2019-12-01	9261	8876	385	4.2	"55047"	252.691387070509	4.04283508149171	310	3.3	4.06009251580892	444.464017525875
"25"	"049"	61.2315270935961	1144.43349753695	"CN5504900000000"	"55"	"Iowa County, WI"	2019-12-01	13858	13480	378	2.7	"55049"	201.192597561036	4.21015558947213	306	2.2	3.02598981175382	482.581887721911
"26"	"051"	106	979.612244897959	"CN5505100000000"	"55"	"Iron County, WI"	2019-12-01	2525	2364	161	6.4	"55051"	473.123565237812	4.46695964603903	140	5.6	6.46667815986748	212.717173471471
"27"	"053"	47.1860465116279	2485.71627906977	"CN5505300000000"	"55"	"Jackson County, WI"	2019-12-01	10258	9799	459	4.5	"55053"	582.644529608	3.89709362724155	332	3.2	3.89626854266686	474.473397664512
"28"	"055"	109.646408839779	6449.55801104972	"CN5505500000000"	"55"	"Jefferson County, WI"	2019-12-01	45488	44175	1313	2.9	"55055"	2480.00272819027	3.49929538695436	1202	2.6	3.0686248212824	1356.73378292787
"29"	"057"	108.886904761905	3009.64534883721	"CN5505700000000"	"55"	"Juneau County, WI"	2019-12-01	13282	12799	483	3.6	"55057"	1229.28562575824	4.11561471446981	365	2.8	3.53556065134514	539.934448156376
"30"	"059"	129.43	14512.6	"CN5505900000000"	"55"	"Kenosha County, WI"	2019-12-01	88811	85607	3204	3.6	"55059"	5544.98859855383	2.1459854501567	3195	3.6	3.45294375517319	3251.71322672685
"31"	"061"	40.8152173913044	1439.54347826087	"CN5506100000000"	"55"	"Kewaunee County, WI"	2019-12-01	11312	10970	342	3	"55061"	156.790524113515	4.05338895336927	285	2.5	3.27536164258742	447.991628924222
"32"	"063"	97.9634146341463	5802.42682926829	"CN5506300000000"	"55"	"La Crosse County, WI"	2019-12-01	67197	65436	1761	2.6	"55063"	2159.23774422184	3.5567025953934	1578	2.3	2.80526028299328	1715.40626316204
"33"	"065"	40.6009174311927	721.389908256881	"CN5506500000000"	"55"	"Lafayette County, WI"	2019-12-01	10233	9970	263	2.6	"55065"	-104.735611935144	4.18177574734123	203	2	2.83517655876922	384.744229703157
"34"	"067"	61.0519480519481	1059.63636363636	"CN5506700000000"	"55"	"Langlade County, WI"	2019-12-01	9334	8900	434	4.6	"55067"	169.1698022534	4.22453250199496	318	3.5	4.32145440365278	445.774839854078
"35"	"069"	83.7564102564103	2054.67948717949	"CN5506900000000"	"55"	"Lincoln County, WI"	2019-12-01	14987	14424	563	3.8	"55069"	697.496281666652	4.16030785438558	486	3.2	3.97447505028964	627.086722091669
"36"	"071"	162.890151515152	3836.38636363636	"CN5507100000000"	"55"	"Manitowoc County, WI"	2019-12-01	40609	39121	1488	3.7	"55071"	1928.51658805499	4.24049643306972	1346	3.3	4.03069003715328	1466.15890782179
"37"	"073"	106.060491493384	4556.18903591682	"CN5507300000000"	"55"	"Marathon County, WI"	2019-12-01	73871	71858	2013	2.7	"55073"	1768.1294460027	3.82245578287261	1818	2.5	3.10920941113109	1929.39169425937
"38"	"075"	72.8345323741007	2503.14388489209	"CN5507500000000"	"55"	"Marinette County, WI"	2019-12-01	19505	18473	1032	5.3	"55075"	778.924373897763	4.02405407442504	798	4.1	4.81748496729431	888.029608679021
"39"	"077"	40.1851851851852	3718.87654320988	"CN5507700000000"	"55"	"Marquette County, WI"	2019-12-01	7693	7349	344	4.5	"55077"	977.138749196267	3.63925872336993	263	3.4	3.99070116511642	407.33214906661
"40"	"078"	78.7083333333333	312.458333333333	"CN5507800000000"	"55"	"Menominee County, WI"	2019-12-01	1594	1490	104	6.5	"55078"	29.5017778812013	4.44880141427354	115	7.3	8.17035807628192	115.680003784561
"41"	"079"	553.928733031674	21950.6809954751	"CN5507900000000"	"55"	"Milwaukee County, WI"	2019-12-01	467058	450408	16650	3.6	"55079"	11381.3897173585	2.95827298584969	17340	3.7	3.44901504334918	16745.5215761075
"42"	"081"	45.5923913043478	3042.11956521739	"CN5508100000000"	"55"	"Monroe County, WI"	2019-12-01	23246	22547	699	3	"55081"	772.233366408255	3.78869743902519	572	2.5	3.15611832053905	729.224909410455
"43"	"083"	38.7191780821918	1756.86577181208	"CN5508300000000"	"55"	"Oconto County, WI"	2019-12-01	20883	20092	791	3.8	"55083"	256.121903129046	3.98554763463432	605	2.9	3.64362343330101	736.404847529057
"44"	"085"	75.2586206896552	2597.1724137931	"CN5508500000000"	"55"	"Oneida County, WI"	2019-12-01	17510	16622	888	5.1	"55085"	830.913025850053	4.01939817523462	638	3.7	4.41716676294972	752.978804263579
"45"	"087"	139.464419475655	7048.65917602996	"CN5508700000000"	"55"	"Outagamie County, WI"	2019-12-01	101096	98264	2832	2.8	"55087"	2917.70451258098	3.54253757860665	2546	2.5	2.95493141274487	2639.40479251421
"46"	"089"	114.184466019417	8434.54368932039	"CN5508900000000"	"55"	"Ozaukee County, WI"	2019-12-01	48641	47443	1198	2.5	"55089"	3232.08934132865	3.1644474269923	1235	2.5	2.82129192005307	1404.23752272699
"47"	"091"	17.5964912280702	1105.42105263158	"CN5509100000000"	"55"	"Pepin County, WI"	2019-12-01	4068	3904	164	4	"55091"	-136.121799796757	3.99584950235484	131	3.2	3.9671475012125	268.930388623897
"48"	"093"	38.1612903225806	1268.72177419355	"CN5509300000000"	"55"	"Pierce County, WI"	2019-12-01	24777	23870	907	3.7	"55093"	75.3038842576327	4.07072381114406	716	2.9	3.68029379575717	838.107898581511
"49"	"095"	126.097222222222	1950.125	"CN5509500000000"	"55"	"Polk County, WI"	2019-12-01	24461	23281	1180	4.8	"55095"	973.260002125361	4.39393223462354	841	3.5	4.33129885936302	961.725723071589
"50"	"097"	171.153846153846	5096.87362637363	"CN5509700000000"	"55"	"Portage County, WI"	2019-12-01	38766	37511	1255	3.2	"55097"	2445.96263971643	4.05516456655508	1005	2.6	3.2505177215259	1179.726116506
"51"	"099"	77.8901098901099	847.353535353535	"CN5509900000000"	"55"	"Price County, WI"	2019-12-01	6517	6212	305	4.7	"55099"	217.049095091451	4.34821624846664	308	4.7	5.54884751275831	395.738285320736
"52"	"101"	164.201492537313	9973.05970149254	"CN5510100000000"	"55"	"Racine County, WI"	2019-12-01	97450	93787	3663	3.8	"55101"	4159.42549676693	3.14078510952146	3634	3.7	3.94506004446832	3645.16047615674
"53"	"103"	36.8754208754209	765.010101010101	"CN5510300000000"	"55"	"Richland County, WI"	2019-12-01	9293	9021	272	2.9	"55103"	-116.540900005783	4.15501393834849	244	2.7	3.52118117433331	397.034310107089
"54"	"105"	139.372013651877	7065.96245733788	"CN5510500000000"	"55"	"Rock County, WI"	2019-12-01	84837	81878	2959	3.5	"55105"	2923.28308545389	3.53894928970431	2932	3.4	3.8444890692304	2970.56257912993
"55"	"107"	83.841059602649	578.450331125828	"CN5510700000000"	"55"	"Rusk County, WI"	2019-12-01	6651	6317	334	5	"55107"	163.795566214666	4.42688233380184	267	4	4.8830487609966	382.744475996293
"56"	"109"	140.723549488055	4341.47781569966	"CN5510900000000"	"55"	"St. Croix County, WI"	2019-12-01	49391	47598	1793	3.6	"55109"	1947.15426727809	4.03699445326136	1469	3	3.66607411205026	1590.0763190646
"57"	"111"	52.2686567164179	3472.58582089552	"CN5511100000000"	"55"	"Sauk County, WI"	2019-12-01	34850	33786	1064	3.1	"55111"	977.491945883471	3.74495540019574	925	2.7	3.32805710066401	1059.10462519789
"58"	"113"	62.9325842696629	641.268041237113	"CN5511300000000"	"55"	"Sawyer County, WI"	2019-12-01	7776	7351	425	5.5	"55113"	31.668928650113	4.30949848147094	332	4.3	5.14946121491386	427.78005358293
"59"	"115"	36.4177215189873	1947.70253164557	"CN5511500000000"	"55"	"Shawano County, WI"	2019-12-01	21219	20545	674	3.2	"55115"	308.149808487175	3.93946804489788	579	2.8	3.52692344252383	716.029025037585
"60"	"117"	79.0084388185654	4375.70886075949	"CN5511700000000"	"55"	"Sheboygan County, WI"	2019-12-01	61735	60126	1609	2.6	"55117"	1502.43613668355	3.7177719941616	1598	2.6	3.18959196817649	1709.90428856495
"61"	"119"	39.9058823529412	596.595505617978	"CN5511900000000"	"55"	"Taylor County, WI"	2019-12-01	11058	10582	476	4.3	"55119"	-155.053448534084	4.20074899171001	302	2.8	3.63692738766385	447.915161220518
"62"	"121"	40.7027027027027	1542.49615384615	"CN5512100000000"	"55"	"Trempealeau County, WI"	2019-12-01	15877	15254	623	3.9	"55121"	193.221333921143	4.0342571797736	412	2.6	3.36592809608744	564.667228375176
"63"	"123"	43.765243902439	569.326219512195	"CN5512300000000"	"55"	"Vernon County, WI"	2019-12-01	15466	14930	536	3.5	"55123"	-136.338373130851	4.22524197559511	410	2.7	3.54424929489376	554.311569899734
"64"	"125"	107.846153846154	2826.30769230769	"CN5512500000000"	"55"	"Vilas County, WI"	2019-12-01	9784	9242	542	5.5	"55125"	1155.21716897628	4.14338890312871	361	3.7	4.44097871798379	501.876279431557
"65"	"127"	34.3834951456311	5264.69417475728	"CN5512700000000"	"55"	"Walworth County, WI"	2019-12-01	57611	55903	1708	3	"55127"	1493.68264819907	3.33113854366046	1639	2.8	3.26350663744352	1734.34614219593
"66"	"129"	11.093023255814	1644.06976744186	"CN5512900000000"	"55"	"Washburn County, WI"	2019-12-01	7704	7376	328	4.3	"55129"	10.6749503065028	3.86574911830867	267	3.5	4.21434235892785	387.570344726562
"67"	"131"	105.624203821656	6915.25477707006	"CN5513100000000"	"55"	"Washington County, WI"	2019-12-01	76718	74773	1945	2.5	"55131"	2618.77228368394	3.39493355153662	1933	2.5	2.92558642768451	2051.39005096184
"68"	"133"	125.249299719888	13670.4621848739	"CN5513300000000"	"55"	"Waukesha County, WI"	2019-12-01	222896	217131	5765	2.6	"55133"	5209.20769140795	2.27660536671238	5878	2.6	2.51092557839029	5812.57010346283
"69"	"135"	91.6153846153846	3673.52662721894	"CN5513500000000"	"55"	"Waupaca County, WI"	2019-12-01	25329	24484	845	3.3	"55135"	1341.65461993248	3.90831536872473	696	2.8	3.4614302070688	851.271394557077
"70"	"137"	38.25	2526.28846153846	"CN5513700000000"	"55"	"Waushara County, WI"	2019-12-01	11566	11098	468	4	"55137"	531.142775574737	3.84445072399602	394	3.4	4.08012093646022	523.444721644501
"71"	"139"	102.018939393939	11603.1893939394	"CN5513900000000"	"55"	"Winnebago County, WI"	2019-12-01	91293	88750	2543	2.8	"55139"	4288.88773303903	2.53147157855277	2436	2.7	2.75456372442258	2544.61162417684
"72"	"141"	38.5148936170213	1952.00425531915	"CN5514100000000"	"55"	"Wood County, WI"	2019-12-01	35095	33798	1297	3.7	"55141"	325.240059544969	3.94933044389086	1110	3.2	3.92381390251257	1202.74983885789
